RANK,TITLE,BRAND NAME,DISCOUNT PRICE,TRUE PRICE,DISCOUNT PERCENTAGE,RATING,DETAILS,RATING COUNT,REVIEW COUNT,URL
173,Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) 15IAU7 Thin and...,Lenovo,32990,47490,30,4.1,"Intel Core i3 Processor (12th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
256 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Carry-in Warranty",612,57,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-12th-gen-1215u-8-gb-256-gb-ssd-windows-11-home-15iau7-thin-light-laptop/p/itme37bd041815ce
174,MSI Katana 17 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,Msi,134990,172990,21,4.8,"Intel Core i7 Processor (12th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
1 TB SSD
43.94 cm (17.3 Inch) Display
2 Year Carry-in Warranty",8,1,https://www.flipkart.com/msi-katana-17-intel-core-i7-12th-gen-12650h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4070-240-hz-b12vgk-672in-gaming-laptop/p/itm1f8c98964a53d
175,DELL Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3420 Notebook,Dell,32990,55999,41,4.1,"Processor: Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 Cores
RAM & Storage: 8GB DDR4 & 256GB SSD
Graphics & Keyboard: Integrated & Standard Keyboard
Display: 14.0"" FHD WVA AG Narrow Border 250 nits
Ports: 2 USB 3.2 Gen 1 ports, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*,1 Flip-Down RJ-45 port 10/100/1000 Mbps, 1 SD 3.0 card slot
Feature- Add Full Size spill resistent KB with a Larger Touchpad, 3 Side Narrow Border, Hardware TPM 2.0 for Security add
Intel Core i3 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
256 GB SSD
35.56 cm (14 inch) Display
1 Year Onsite Hardware Service",144,14,https://www.flipkart.com/dell-intel-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-vostro-3420-notebook/p/itm5777ef1e1433f
176,ASUS Zenbook 14 Flip OLED Intel H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 ...,Asus,81088,110990,26,4.3,"Intel Core i5 Processor (12th Gen)
16 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Touchscreen Display
1 Year Onsite Warranty",180,33,https://www.flipkart.com/asus-zenbook-14-flip-oled-intel-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-up5401za-ku541ws-2-1-laptop/p/itmcd9a30bec25cc
177,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,Hp,59990,75980,21,4.3,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",816,71,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0135ax-gaming-laptop/p/itm740ddb5e8081e
178,Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Lenovo,59990,94790,36,4.1,"Intel Core i5 Processor (12th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Onsite Warranty",176,23,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15irh8-gaming-laptop/p/itma2ce6d6c8705b
179,Infinix Inbook Y2 Plus Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL29 Thin an...,Infinix,34990,54990,36,4.1,"Intel Core i5 Processor (11th Gen)
16 GB LPDDR4X RAM
64 bit Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
NA
1 Year Onsite Warranty",491,75,https://www.flipkart.com/infinix-inbook-y2-plus-intel-core-i5-11th-gen-1155g7-16-gb-512-gb-ssd-windows-11-home-xl29-thin-light-laptop/p/itm75b1b09b094c4
180,Acer Aspire 7 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,Acer,51990,83999,38,4.2,"Intel Core i5 Processor (12th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",1196,114,https://www.flipkart.com/acer-aspire-7-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-a715-76g-59wg-gaming-laptop/p/itm8b4158720b4eb
181,CHUWI Intel Core i5 10th Gen 1035G1 - (16 GB/512 GB SSD/Windows 11 Home) CoreBook X Grey Laptop,Chuwi,34990,49990,30,4.3,"Intel Core i5 Processor (10th Gen)
16 GB DDR4 RAM
Windows 11 Home Operating System
512 GB SSD
35.56 cm (14 inch) Display
WPS Office, Operating System Software
1 Year Onsite Warranty",3,0,https://www.flipkart.com/chuwi-intel-core-i5-10th-gen-1035g1-16-gb-512-gb-ssd-windows-11-home-corebook-x-grey-laptop/p/itm575d2115bdd15
182,CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/512 GB SSD/Windows 11 Home) FreeBook 2 in 1 ...,Chuwi,27990,49990,44,4.2,"Display: 13.5"" Ultra HD 2K 3:2 touchscreen display
Processor: Cutting-edge Intel i3 12th Gen processor, LPDDR4 12GB RAM, 512GB SSD Storage
Graphics: Intel integrated UHD Graphics GPU
2 in 1 Tablet Notebook
360-degree foldable screen
Bluetooth: 5.2
3 Type-C interfaces :- PD Fast charging, USB 3.0 data transmission, USB 2.0 data Transmission
1MP HD Cam
Compact and Portable
Intel Core i3 Processor (12th Gen)
12 GB LPDDR4 RAM
64 bit Windows 11 Home Operating System
512 GB SSD
34.29 cm (13.5 inch) Touchscreen Display
Operating System Software
1 Year Onsite Warranty",63,25,https://www.flipkart.com/chuwi-intel-core-i3-12th-gen-i3-1215u-12-gb-512-gb-ssd-windows-11-home-freebook-2-1-laptop/p/itmc5e3f409e7e39
183,ASUS Vivobook 14 Intel Core i3 11th Gen 1115G4 - (16 GB/512 GB SSD/Windows 11 Home) X415EA-EK344WS Thi...,Asus,35990,59990,40,4.3,"Intel Core i3 Processor (11th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
Microsoft Office Home & Student 2021
1 Year Onsite Warranty",3228,255,https://www.flipkart.com/asus-vivobook-14-intel-core-i3-11th-gen-1115g4-16-gb-512-gb-ssd-windows-11-home-x415ea-ek344ws-thin-light-laptop/p/itmae62c2cd5aad0
184,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15S-FQ5202TU Thin and Light Laptop,Hp,48490,65387,25,3.9,"Intel Core i5 Processor (12th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1-year warranty",28,3,https://www.flipkart.com/hp-15s-intel-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5202tu-thin-light-laptop/p/itma5bc84556fdc9
185,ASUS Vivobook S 14 Flip (2023) Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) TP340...,Asus,79990,98990,19,3.8,"Intel Core i5 Processor (13th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Touchscreen Display
1 Year Onsite Warranty",13,0,https://www.flipkart.com/asus-vivobook-s-14-flip-2023-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-tp3402vab-lz541ws-2-1-laptop/p/itm857f6a5f65283
186,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,Hp,60990,73688,17,4.3,"Intel Core i5 Processor (12th Gen)
16 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart
1 Year Onsite Warranty",1482,127,https://www.flipkart.com/hp-pavilion-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-14-dv2014tu-thin-light-laptop/p/itmb4b81cd1f873f
187,CHUWI Intel Core i5 10th Gen 10210Y - (12 GB/512 GB SSD/Windows 11 Home) UBook_X 2 in 1 Laptop,Chuwi,39990,49990,20,,"Intel Core i5 Processor (10th Gen)
12 GB LPDDR3 RAM
64 bit Windows 11 Home Operating System
512 GB SSD
30.48 cm (12 inch) Touchscreen Display
WPS Office, Operating System Software
1 Year Onsite Warranty",,,https://www.flipkart.com/chuwi-intel-core-i5-10th-gen-10210y-12-gb-512-gb-ssd-windows-11-home-ubook-x-2-1-laptop/p/itmef6de52a3d474
188,Lenovo IdeaPad Gaming 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,Lenovo,71990,94690,23,4.3,"Intel Core i5 Processor (12th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
Microsoft Office Home & Student 2021
1 Year Onsite Warranty",444,57,https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15iah7-laptop/p/itmdfcda2ed0d444
189,ASUS Vivobook S 14 Flip AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home) TN3402QA-LZ7...,Asus,64990,84990,23,4.3,"AMD Ryzen 7 Octa Core Processor
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Touchscreen Display
1 Year Onsite Warranty",202,13,https://www.flipkart.com/asus-vivobook-s-14-flip-amd-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-tn3402qa-lz740ws-thin-light-laptop/p/itme62d322231e2a
190,ASUS TUF Gaming F15 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,Asus,72990,103990,29,4.5,"Intel Core i5 Processor (12th Gen)
16 GB DDR4 RAM
Windows 11 Home Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",382,36,https://www.flipkart.com/asus-tuf-gaming-f15-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fx507zc4-hn116w-laptop/p/itm18565b89ac405
191,Infinix Inbook Y1 Plus Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and...,Infinix,29990,59990,50,4.4,"Intel Core i5 Processor (10th Gen)
8 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Onsite Warranty",181,25,https://www.flipkart.com/infinix-inbook-y1-plus-intel-core-i5-10th-gen-1035g1-8-gb-512-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itma03825e758d06
192,Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 16IAH8 Laptop,Lenovo,62190,84290,26,4.3,"Intel Core i5 Processor (12th Gen)
16 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
40.64 cm (16 Inch) Display
1 Year Onsite Premium Support with 1 Year Onsite Warranty",121,14,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-16iah8-laptop/p/itm16e86970a1665
193,ASUS Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ541WS Laptop,Asus,59990,99500,39,3.8,"Intel Core i5 Processor (13th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Manufacturer Warranty",4,1,https://www.flipkart.com/asus-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-k3504vab-nj541ws-laptop/p/itma18c452f2836c
194,ASUS Vivobook Go 15 OLED (2023) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504F...,Asus,39990,61990,35,4.4,"AMD Ryzen 3 Quad Core Processor
8 GB LPDDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",1312,190,https://www.flipkart.com/asus-vivobook-go-15-oled-2023-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1504fa-lk321ws-thin-light-laptop/p/itm3de88f71e558b
195,Infinix Y1 Plus Neo (2023) Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) ...,Infinix,18990,29990,36,4.1,"Intel Celeron Quad Core Processor (11th Gen)
4 GB LPDDR4X RAM
Windows 11 Operating System
128 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",1196,172,https://www.flipkart.com/infinix-y1-plus-neo-2023-intel-celeron-quad-core-11th-gen-n5100-4-gb-128-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itm01497208068d1
196,Infinix X3 Slim Intel Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and...,Infinix,36990,64990,43,4.1,"Intel Core i5 Processor (12th Gen)
16 GB LPDDR4X RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Onsite Warranty",867,135,https://www.flipkart.com/infinix-x3-slim-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-xl422-thin-light-laptop/p/itm26291fa42c142
197,Lenovo IdeaPad 3 Chromebook Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) ideapa...,Lenovo,17690,25710,31,3.5,"Intel Celeron Dual Core Processor
4 GB LPDDR4 RAM
Chrome Operating System
29.46 cm (11.6 Inch) Display
1 Year Onsite�Warranty",2373,238,https://www.flipkart.com/lenovo-ideapad-3-chromebook-intel-celeron-dual-core-n4020-4-gb-64-gb-emmc-storage-chrome-os-cb-11igl05-2/p/itmd462d33eff5ef
198,Lenovo IdeaPad Slim 3 Chromebook Intel Celeron Dual Core N4020 - (4 GB/64 GB EMMC Storage/Chrome OS) 1...,Lenovo,22999,34890,34,3.5,"Intel Celeron Dual Core Processor
4 GB DDR4 RAM
Chrome Operating System
35.56 cm (14 Inch) Display
1 Year Carry-in Warranty",23,2,https://www.flipkart.com/lenovo-ideapad-slim-3-chromebook-intel-celeron-dual-core-n4020-4-gb-64-gb-emmc-storage-chrome-os-14igl05-thin-light-laptop/p/itm201a7b6dc7c2c
199,HP AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15s- ey2001au Thin and Light Lapto...,Hp,56290,64235,12,4.2,"AMD Ryzen 7 Octa Core Processor
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",429,37,https://www.flipkart.com/hp-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15s-ey2001au-thin-light-laptop/p/itm0115cd7cec20e
200,Lenovo Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82RK00VWIN Thin and Light Laptop,Lenovo,35091,56000,37,,"Intel Core i3 Processor (12th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1-year warranty",,,https://www.flipkart.com/lenovo-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-82rk00vwin-thin-light-laptop/p/itm09d699c84f79a
201,HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,Hp,59990,75980,21,4.3,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",816,71,https://www.flipkart.com/hp-victus-amd-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15-fb0135ax-gaming-laptop/p/itm740ddb5e8081e
202,AXL Intel Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 15W_LAP02 Thin and Light Laptop,Axl,16990,33990,50,3.5,"Intel Celeron Dual Core Processor
4 GB DDR4 RAM
Windows 11 Home Operating System
256 GB SSD
39.62 cm (15.6 inch) Display
1 Year",17,0,https://www.flipkart.com/axl-intel-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-15w-lap02-thin-light-laptop/p/itm50377e8d175f3
203,Lenovo AMD Ryzen 7 Octa Core 7730U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light ...,Lenovo,44990,76990,41,4.2,"AMD Ryzen 7 Octa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",58,4,https://www.flipkart.com/lenovo-amd-ryzen-7-octa-core-7730u-8-gb-512-gb-ssd-windows-11-home-thinkbook-15-g5-thin-light-laptop/p/itm3138a03a4b1a2
204,WINGS Nuvobook S1 Aluminium Alloy Metal Body Intel Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Wi...,Wings,23990,49999,52,4.2,"Intel Core i3 Processor (11th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
256 GB SSD
39.62 cm (15.6 Inch) Display
1 Year Onsite Warranty",504,102,https://www.flipkart.com/wings-nuvobook-s1-aluminium-alloy-metal-body-intel-core-i3-11th-gen-1125g4-8-gb-256-gb-ssd-windows-11-home-wl-nuvobook-s1-blu-thin-light-laptop/p/itm5b78d87082afc
205,ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Hom...,Asus,57990,86990,33,4.3,"Intel Core i5 Processor (12th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
1 Year Onsite Warranty",1634,176,https://www.flipkart.com/asus-vivobook-s-14-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-ly542ws-thin-light-laptop/p/itmfee55947a37e1
206,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Thin and Light...,Lenovo,30990,49190,36,4.2,"Intel Core i3 Processor (11th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
256 GB SSD
100.63 cm (39.62 cm) Display
1Year Onsite warranty + 1 Year Accidental Damage Protection",2891,219,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm2f89fa5fe05df
207,Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,Lenovo,59990,94790,36,4.1,"Intel Core i5 Processor (12th Gen)
16 GB DDR5 RAM
Windows 11 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
1 Year Onsite Warranty",176,23,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15irh8-gaming-laptop/p/itma2ce6d6c8705b
